time,desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,error_norm
0.15,-0.04279751347726717,-0.7,0.04889195562712094,-0.04002015091193189,-0.704030831277125,0.08270705619628882,0.002777362565335284,-0.004030831277125002,0.03381510056916788,0.03416756312801533
0.151,-0.042789461135854315,-0.7,0.04889643695063649,-0.04001048606440455,-0.7038197946642778,0.08281686132023368,0.0027789750714497657,-0.0038197946642778424,0.03392042436959719,0.034247755008738126
0.152,-0.04278140832520252,-0.7,0.048900917430888244,-0.04000223944988118,-0.7035801679339385,0.0828969404131717,0.0027791688753213348,-0.0035801679339385606,0.03399602298228345,0.03429680685843364
0.153,-0.04277335504540007,-0.7,0.048905397067827094,-0.03999785701048678,-0.7033753632328893,0.08300729771370988,0.0027754980349132888,-0.003375363232889339,0.03410190064588278,0.03438075179453482
0.154,-0.04276530129653531,-0.7,0.048909875861403884,-0.03999489806453094,-0.7031419707356534,0.0830880202854255,0.0027704032320043717,-0.0031419707356534765,0.03417814442402162,0.034433888401411816
0.155,-0.04275724707869654,-0.7,0.0489143538115695,-0.03999577743996244,-0.7029434651560759,0.08319886948380652,0.002761469638734103,-0.0029434651560759084,0.03428451567223702,0.034521264701203355
0.156,-0.042749192391972085,-0.7,0.048918830918274855,-0.03999807768138931,-0.7027163712098093,0.083280177837741,0.002751114710582772,-0.0027163712098093873,0.03436134691946614,0.03457816459588582
0.157,-0.04274113723645028,-0.7,0.04892330718147084,-0.04000419474111258,-0.7025242240936289,0.08339146324504021,0.0027369424953377006,-0.0025242240936289573,0.03446815606356937,0.034668665159192626
0.158,-0.042733081612219455,-0.7,0.04892778260110836,-0.04001172226442545,-0.7023034855870779,0.08347330447755362,0.0027213593477940015,-0.002303485587077936,0.03454552187644526,0.03472902135485047
0.159,-0.04272502551936795,-0.7,0.04893225717713835,-0.040023049628169244,-0.7021177489313151,0.08358497462942974,0.0027019758911987074,-0.002117748931315111,0.034652717452291384,0.03482235432995657
0.16,-0.04271696895798412,-0.7,0.048936730909511755,-0.04003576934704385,-0.7019034158848543,0.08366730032290512,0.002681199610940266,-0.0019034158848543203,0.034730569413393364,0.034885875009277846
0.161,-0.0427089119281563,-0.7,0.04894120379817947,-0.04005227668577351,-0.7017241348804438,0.08377930759921012,0.002656635242382785,-0.0017241348804438728,0.034838103801030654,0.034981764225785125
0.162,-0.04270085442997285,-0.7,0.04894567584309249,-0.04007015058350998,-0.7015162510314292,0.08386207351050844,0.00263070384646287,-0.001516251031429272,0.034916397667415944,0.0350481732189744
0.163,-0.04269279646352214,-0.7,0.04895014704420175,-0.0400918049376111,-0.7013434646233568,0.08397437373481798,0.002600991525911041,-0.0013434646233568825,0.03502422669061622,0.03514635840862814
0.164,-0.04268473802889253,-0.7,0.04895461740145822,-0.040114792326740326,-0.7011420680434546,0.08405753947660005,0.0025699457021522015,-0.0011420680434546249,0.03510292207514183,0.03521539547614609
0.165,-0.04267667912617239,-0.7,0.04895908691481286,-0.04014155844614246,-0.7009758095187458,0.08417009148940596,0.00253512068002993,-0.0009758095187458737,0.0352110045745931,0.03531563229267185
0.166,-0.04266861975545008,-0.7,0.04896355558421671,-0.040169616239932,-0.700780933272377,0.08425362020121492,0.0024990035155180793,-0.000780933272377049,0.03529006461699821,0.03538705322598063
0.167,-0.04266055991681401,-0.7,0.04896802340962071,-0.040201456952224164,-0.7006212308840238,0.08436638539875192,0.0024591029645898432,-0.0006212308840238823,0.03539836198913121,0.03548911307310016
0.168,-0.04265249961035255,-0.7,0.048972490390975884,-0.04023453995158436,-0.70043290373941,0.0844502434039174,0.00241795965876819,-0.0004329037394100732,0.03547775301294151,0.03556268962559365
0.169,-0.04264443883615408,-0.7,0.04897695652823325,-0.04027141656596311,-0.7002797813763078,0.08456318523219543,0.002373022270190976,-0.0002797813763077972,0.03558622870396218,0.03566635929954237
