time,joint_positions
0.07200000000000001,"array('d', [-1.8968713460694853, 1.3342685134596743, -2.0276277787858117, 2.302705968892482, 1.8328254138717406, 1.2107747679086875])"
0.073,"array('d', [-1.8956867673698194, 1.335151938361098, -2.02785817063422, 2.302202960105987, 1.8296125479745742, 1.2121997878156314])"
0.074,"array('d', [-1.8944962083430459, 1.3360405208349977, -2.0280846565406794, 2.3016795132584926, 1.8264413686217253, 1.2136319873573758])"
0.075,"array('d', [-1.8932999842484024, 1.3369340019606646, -2.0283073876080167, 2.3011362593981333, 1.8233111427273863, 1.215070988879312])"
0.076,"array('d', [-1.892098401931273, 1.3378321282769159, -2.02852650715159, 2.3005738112334506, 1.8202211342732266, 1.216516421518246])"
0.077,"array('d', [-1.8908917598888584, 1.3387346516985816, -2.0287421512298263, 2.2999927637801667, 1.817170606332748, 1.2179679214010417])"
0.078,"array('d', [-1.8896803483460132, 1.33964132942588, -2.0289544491466915, 2.299393695004802, 1.814158822916545, 1.2194251318161347])"
0.079,"array('d', [-1.888464449340459, 1.3405519238475094, -2.029163523927752, 2.298777166461414, 1.8111850506458929, 1.2208877033608019])"
0.08,"array('d', [-1.8872443368162892, 1.3414662024383806, -2.0293694927706953, 2.298143723920221, 1.8082485602628355, 1.2223552940644338])"
0.081,"array('d', [-1.8860202767248653, 1.3423839376527857, -2.0295724674714855, 2.29749389798629, 1.8053486279850652, 1.2238275694892542])"
0.082,"array('d', [-1.8847925271322028, 1.3433049068137672, -2.0297725548271814, 2.296828204707017, 1.8024845367142783, 1.225304202809565])"
0.083,"array('d', [-1.8835613383320153, 1.344228891999368, -2.0299698570165035, 2.296147146167228, 1.7996555771068752, 1.2267848748708108])"
0.084,"array('d', [-1.8823269529636295, 1.3451556799263984, -2.030164471959177, 2.2954512110709406, 1.796861048515969, 1.2282692742297108])"
0.085,"array('d', [-1.8810896061340416, 1.3460850618322922, -2.030356493655088, 2.294740875309014, 1.794100259813653, 1.2297570971767475])"
0.08600000000000001,"array('d', [-1.8798495255434353, 1.347016833355565, -2.0305460125042383, 2.2940166025120607, 1.7913725301023573, 1.231248047742279])"
0.08700000000000001,"array('d', [-1.8786069316135356, 1.3479507944153484, -2.0307331156084736, 2.2932788445881584, 1.7886771893239406, 1.2327418376875268])"
0.088,"array('d', [-1.877362037618223, 1.3488867490904137, -2.030917887055922, 2.2925280422450283, 1.7860135787748994, 1.2342381864816692])"
0.089,"array('d', [-1.8761150498158787, 1.34982450549806, -2.0311004081890447, 2.291764625496475, 1.7833810515357693, 1.2357368212662228])"
0.09,"array('d', [-1.8748661675829879, 1.3507638756731992, -2.031280757857166, 2.2909890141529887, 1.7807789728224488, 1.23723747680786])"
0.091,"array('d', [-1.8736155835485604, 1.3517046754479298, -2.031459012654319, 2.2902016182965124, 1.7782067202667944, 1.2387398954407596])"
0.092,"array('d', [-1.872363483728984, 1.3526467243318567, -2.0316352471431975, 2.2894028387394623, 1.7756636841334448, 1.2402438269995317])"
0.093,"array('d', [-1.871110047662958, 1.3535898453933832, -2.0318095340659807, 2.2885930674681654, 1.7731492674794262, 1.2417490287437107])"
0.094,"array('d', [-1.8698554485461991, 1.3545338651421688, -2.031981944542742, 2.287772688070943, 1.7706628862626785, 1.2432552652747482])"
0.095,"array('d', [-1.8685998533656412, 1.355478613412921, -2.032152548258137, 2.286942076151121, 1.7682039694052354, 1.2447623084463828])"
0.096,"array('d', [-1.8673434230328925, 1.3564239232506665, -2.0323214136370176, 2.2861015997253045, 1.7657719588163878, 1.246269937269207])"
0.097,"array('d', [-1.8660863125167397, 1.3573696307976204, -2.0324886080095794, 2.2852516196072763, 1.763366309380767, 1.2477779378101932])"
0.098,"array('d', [-1.8648286709745197, 1.3583155751817593, -2.0326541977666346, 2.2843924897779293, 1.7609864889158993, 1.2492861030878897])"
0.099,"array('d', [-1.8635706418822053, 1.3592615984071794, -2.032818248505545, 2.283524557741647, 1.7586319781034234, 1.250794232963937])"
0.1,"array('d', [-1.8623123631630814, 1.3602075452463112, -2.032980825167334, 2.2826481648695798, 1.7563022703978017, 1.252302134031509])"
0.101,"array('d', [-1.861053967314903, 1.3611532631340453, -2.03314199216546, 2.281763646730266, 1.753996871916028, 1.2538096195012287])"
0.10200000000000001,"array('d', [-1.8597955815354559, 1.362098602063815, -2.033301813506701, 2.2808713334080637, 1.7517153013115152, 1.2553165090850633])"
0.10300000000000001,"array('d', [-1.858537327846454, 1.3630434144856671, -2.0334603529045685, 2.279971549809849, 1.7494570896350468, 1.256822628878655])"
0.10400000000000001,"array('d', [-1.8572793232157296, 1.363987555206347, -2.0336176738856566, 2.2790646159604497, 1.7472217801853924, 1.2583278112425025])"
0.105,"array('d', [-1.8560216796776843, 1.3649308812914178, -2.0337738398892813, 2.278150847287267, 1.745008928351927, 1.2598318946823648])"
0.106,"array('d', [-1.8547645044519876, 1.3658732519694228, -2.0339289143607555, 2.2772305548945364, 1.7428181014513442, 1.2613347237292247])"
0.107,"array('d', [-1.8535079000605206, 1.3668145285380997, -2.03408296083862, 2.276304045827665, 1.7406488785603216, 1.262836148819106])"
0.108,"array('d', [-1.8522519644425735, 1.36775457427265, -2.034236043036117, 2.27537162332807, 1.7385008503457884, 1.26433602617301])"
0.109,"array('d', [-1.8509967910683185, 1.3686932543360641, -2.0343882249171807, 2.2744335870789305, 1.736373618894237, 1.2658342176772062])"
0.11,"array('d', [-1.8497424690505875, 1.3696304356915006, -2.0345395707671936, 2.273490233442245, 1.7342667975413466, 1.267330590764074])"
0.111,"array('d', [-1.8484890832549936, 1.3705659870167173, -2.034690145258732, 2.272541855687565, 1.7321800107030076, 1.2688250182936762])"
0.112,"array('d', [-1.8472367144084414, 1.3714997786205527, -2.0348400135125178, 2.2715887442127705, 1.7301128937086838, 1.270317378436211])"
0.113,"array('d', [-1.84598543920608, 1.3724316823614537, -2.034989241153757, 2.2706311867572055, 1.7280650926379022, 1.2718075545554681])"
0.114,"array('d', [-1.8447353304167553, 1.3733615715680492, -2.0351378943640444, 2.269669468607502, 1.726036264160529, 1.2732954350933967])"
0.115,"array('d', [-1.8434864569870284, 1.3742893209617695, -2.035286039928988, 2.2687038727963715, 1.7240260753813639, 1.2747809134558648])"
0.116,"array('d', [-1.8422388841438224, 1.3752148065815135, -2.035433745281688, 2.2677346802946343, 1.7220342036894793, 1.2762638878996806])"
0.117,"array('d', [-1.8409926734957756, 1.3761379057103693, -2.0355810785422035, 2.26676217019673, 1.7200603366126184, 1.2777442614209216])"
