time,fx,fy,fz,mx,my,mz,force_magnitude,torque_magnitude
0.34800000000000003,0.2551526854190059,-0.3929841638692283,-4.217789144926925,-0.07706499054643422,-0.05369606333595108,0.0032219776572087935,4.243734760442968,0.0939822383523824
0.34900000000000003,0.29141222280804335,-0.399565169153154,-4.282655848411219,-0.07810014043852698,-0.058036164183181485,0.0029972243010846548,4.31111522972109,0.09734891701054434
0.35000000000000003,0.3268569135042426,-0.40638976014593303,-4.3454751488711585,-0.07915227048445478,-0.06227550050478597,0.0027802506581791646,4.376658811069674,0.1007524177361923
0.35100000000000003,0.3614952310310342,-0.413467251461083,-4.406252126037124,-0.08022254395442079,-0.0664145183386183,0.002571246022372857,4.440348158455104,0.10417848199497443
0.352,0.39533536034431427,-0.42081179813789155,-4.464981943930369,-0.08131263071798404,-0.07045348838161898,0.002370470546373969,4.502159079398998,0.10761531986678007
0.353,0.42838508438565526,-0.42844338952124095,-4.521647960652772,-0.08242481215172524,-0.07439246302961788,0.0021782706701631077,4.562058504515689,0.11105328935683423
0.354,0.46065170199089167,-0.4363890897478293,-4.576219268772535,-0.08356211177161267,-0.07823122743674718,0.001995098757310815,4.620001972302943,0.11448463603926501
0.355,0.49214201285456005,-0.4446846210040055,-4.628647400713618,-0.08472846150453779,-0.08196924398279547,0.001821538770450552,4.675930381550494,0.11790329576194741
0.356,0.5228624283505494,-0.45337643678068607,-4.678861785428397,-0.08592891875465176,-0.08560558952702288,0.0016583408153377321,4.729765630509697,0.12130476549118953
0.357,0.5528193057535202,-0.4625245142312885,-4.726763302817557,-0.08716995781355336,-0.08913888495102124,0.001506469001864125,4.7814045459406,0.12468605296656739
0.358,0.5820196710000549,-0.47220622858868566,-4.772214883013561,-0.0884598728573117,-0.09256721701753988,0.0013671697472550878,4.830710145455335,0.12804572591625962
0.359,0.6104726178682119,-0.48252189810649315,-4.815027410055008,-0.0898093527899104,-0.09588805413301568,0.001242072228514956,4.877498658011112,0.13138409918015034
0.36,0.6381919033894425,-0.4936029811551531,-4.854937960280044,-0.091232328212435,-0.0990981616878499,0.001133340824455183,4.921519623726523,0.13470362958137796
0.361,0.6652007165403542,-0.5056246207394469,-4.891575113034425,-0.09274726321554731,-0.10219353281937518,0.0010439144396390708,4.962424340666713,0.13800964727668866
0.362,0.6915405405431373,-0.5188255885710052,-4.924401586855853,-0.09437920193271607,-0.10516937540758338,0.0009778968201284897,4.999713921735842,0.14131166817806806
0.363,0.7172880786214901,-0.5335414024671172,-4.9526151939704945,-0.09616315409142402,-0.10802025819091769,0.0009412218464539004,5.032649985388065,0.14462577323218612
0.364,0.7425889425938073,-0.5502622010916083,-4.974968744053174,-0.09814998716077794,-0.11074067847535009,0.0009428485033692283,5.060092966726875,0.14797907558888873
0.365,0.7677285311766859,-0.5697403131579613,-4.989421307949234,-0.10041732789980973,-0.11332674639950312,0.0009970476748632994,5.080190558457221,0.15141857645646106
